y_true,y_pred
1.0,0.33119426862978296
1.0,0.36885855500110815
1.0,0.3046445129288763
0.0,0.3919586641972521
0.0,0.3982897222475818
0.0,0.3802419002472293
0.0,0.4103800566780427
1.0,0.39134409337372855
0.0,0.37083510874413483
0.0,0.3634436153417472
1.0,0.4404321670710938
1.0,0.3892095476277709
0.0,0.41239574334175433
1.0,0.3923682936540695
0.0,0.34957299810722536
0.0,0.4134290823566645
0.0,0.4240902421856067
1.0,0.43931496230270606
0.0,0.41604532136726285
1.0,0.4275767939155578
1.0,0.33987405838288703
1.0,0.3772102532590812
1.0,0.403486480647832
0.0,0.38597102162884717
1.0,0.47421312885190753
0.0,0.3595315765076802
0.0,0.3879958744360935
0.0,0.36116835656270513
1.0,0.34900810681719163
0.0,0.3682864713260181
1.0,0.409081338853865
0.0,0.39890135998226545
0.0,0.3432982687589655
1.0,0.35389459508176324
0.0,0.3902120775166306
0.0,0.3639490551983674
0.0,0.36659495668536135
0.0,0.389657209429397
1.0,0.3381228154299941
1.0,0.37076053622858285
0.0,0.40102529035632417
1.0,0.34926859005595223
1.0,0.4020722330181648
0.0,0.3866324662304581
0.0,0.41530669604990555
1.0,0.3600954157375549
0.0,0.3752141806806834
1.0,0.3371849815512047
1.0,0.3641107799142794
0.0,0.3866735437796264
0.0,0.34051436279073033
0.0,0.4350483318038245
1.0,0.38362035592976784
1.0,0.3514736678798326
1.0,0.3708471073823858
1.0,0.4142524087387361
0.0,0.40924296752606004
0.0,0.35673268304467376
1.0,0.40813778438625736
1.0,0.4074451129418276
0.0,0.44481201208706567
0.0,0.35533597023297003
0.0,0.3975335629293819
0.0,0.38533905788052986
0.0,0.34779724816674273
0.0,0.3676869426972684
0.0,0.36911938867858224
0.0,0.41661318508804646
1.0,0.4071954183083617
0.0,0.3669164917914847
1.0,0.3744879657755644
1.0,0.3701642600061478
0.0,0.38967040822869636
1.0,0.38794157404361707
0.0,0.4018945369891265
1.0,0.38847444685583093
0.0,0.33230397486501684
1.0,0.3978415690809225
0.0,0.3465015289621295
0.0,0.3795030507616183
1.0,0.4080319912470231
1.0,0.3558570314561431
0.0,0.36221883648753855
0.0,0.3928191023481896
1.0,0.3763202286117838
1.0,0.38205318781912573
0.0,0.4140851214854391
1.0,0.3525882548326694
1.0,0.4332750867667957
0.0,0.4381766729708649
0.0,0.3452456504077188
1.0,0.4438185482398214
0.0,0.3968863694404864
